Ano;Trimestre;Tipo;Irregularidade;Aplicação;
2022;4º;Reclamação não regulada;Cadastro positivo envolvendo instituição financeira;"Reclamações diversas sobre o Cadastro Positivo envolvendo instituição financeira, conforme a Lei 12.414/2011, com alterações feitas pela Lei Complementar 166/2019, não sujeita a fiscalização do BCB.";
2022;4º;Reclamação regulada;Cancelamento de contrato a pedido do cliente de conta de pagamento pós-paga não atendido - instituição de pagamento;Para os casos em que a instituição de pagamento se recusa ou cria obstáculos para efetuar o cancelamento do contrato solicitado pelo cliente de conta de pagamento pós-paga.;
2022;4º;Reclamação regulada;Cancelamento de contrato a pedido do cliente de conta de pagamento pré-paga não atendido - instituição de pagamento;Para os casos em que a instituição de pagamento se recusa ou cria obstáculos para efetuar o cancelamento do contrato solicitado pelo cliente de conta de pagamento pré-paga.;
2022;4º;Reclamação regulada;Cancelamento de contrato a pedido do cliente não atendido por instituição financeira;Para os casos em que a instituição financeira se recusa ou cria obstáculos para efetuar o cancelamento do contrato solicitado pelo cliente.;
2022;4º;Reclamação não regulada;Cancelamento de contrato por iniciativa - instituição de pagamento;Para as situações de cancelamento de contratos por iniciativa da instituição de pagamento.;
2022;4º;Reclamação não regulada;Cancelamento de contrato por iniciativa da instituição financeira;"Para as situações de cancelamento de contratos por parte da instituição financeira sem aviso ao cliente, exceto nos casos em que haja previsão regulamentar.";
2022;4º;Reclamação não regulada;Cartão pré-pago;"Para situações envolvendo cartão pré-pago em moeda nacional ou estrangeira, tais como:
- não aceitação do cartão pré-pago em estabelecimentos comerciais, inclusive quando da utilização de cartões em moeda estrangeira no exterior; 
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão;
- consulta de saldo e extrato.";
2022;4º;Reclamação não regulada;Cartão pré-pago - instituição de pagamento;"Para situações envolvendo cartão pré-pago em moeda nacional ou estrangeira, tais como:
- não aceitação do cartão pré-pago em estabelecimentos comerciais, inclusive quando da utilização de cartões em moeda estrangeira no exterior; 
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão;
- consulta de saldo e extrato.";
2022;4º;Reclamação não regulada;Cartões de débito;"Para situações relacionadas a cartões de débito, tais como:
- dificuldades de obtenção do cartão;
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão; 
- demora no envio de cartão com nova validade.
";
2022;4º;Reclamação não regulada;Cartões de débito - instituição de pagamento;"Para situações relacionadas a cartões de débito, tais como:
- dificuldades de obtenção do cartão;
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão; 
- demora no envio de cartão com nova validade.";
2022;4º;Reclamação regulada;Cobrança irregular de tarifa em conta de pagamento pós-paga - instituição de pagamento;Para os casos envolvendo a cobrança irregular de tarifa em conta de pagamento pós-paga por instituição de pagamento.;
2022;4º;Reclamação regulada;Cobrança irregular de tarifa em conta de pagamento pré-paga - instituição de pagamento;Para os casos envolvendo a cobrança irregular de tarifa em conta de pagamento pré-paga por instituição de pagamento.;
2022;4º;Reclamação regulada;Cobrança irregular de tarifa em operação de crédito;Para os casos de cobrança de tarifa envolvendo operação de crédito.;
2022;4º;Reclamação regulada;Cobrança irregular de tarifa relacionada a conta ou serviços acessórios à conta;"Para os casos de cobrança irregular de tarifas relacionadas a conta e seus acessórios, tais como limite de cheque especial, adiantamento a depositantes e pacote de serviços.";
2022;4º;Reclamação regulada;Cobrança irregular de tarifa relacionada ao cartão de crédito;Para os casos de cobrança irregular de tarifa relacionada ao cartão de crédito.;
2022;4º;Reclamação regulada;Cobrança irregular para fins de remuneração de correspondentes no País;"Para os casos envolvendo cobrança adicional de tarifa, comissão, valores referentes a ressarcimento de serviços prestados por terceiros ou qualquer outra forma de remuneração, pelo fornecimento de produtos ou serviços por correspondente no País.";
2022;4º;Reclamação não regulada;Cobranças diversas;"Para situações diversas relacionados a cobrança, tais como:
- cobrança de dívida em atraso, sem especificar o valor correspondente a cada item cobrado;
- cobrança de ressarcimento de serviços prestados por terceiros;
- imposição de constrangimentos em cobranças de dívidas, inclusive cartão de crédito.";
2022;4º;Reclamação não regulada;Cobranças diversas de IPs;"Para situações diversas relacionados a cobrança por IP, tais como:
- cobrança de dívida em atraso, sem especificar o valor correspondente a cada item cobrado;
- cobrança de ressarcimento de serviços prestados por terceiros;
- imposição de constrangimentos em cobranças de dívidas, inclusive cartão de crédito.";
2022;4º;Reclamação regulada;Concessão de crédito (exceto consignado) sem a formalização do título adequado;"Para os casos envolvendo a concessão de crédito em todas as demais modalidades por parte da instituição financeira (exceto as de consignado), sem existir, contudo, a formalização do título constitutivo da dívida ou a formalização do título constitutivo da dívida com base em documentação falsa. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartões de crédito (exceto os de consignado) sem a formalização do título adequado.";
2022;4º;Reclamação regulada;Concessão de crédito consignado sem a formalização do título adequado;"Para os casos envolvendo a concessão de crédito exclusivamente na modalidade consignado, por parte da instituição financeira, sem existir, contudo, a formalização do título constitutivo da dívida ou a formalização do título constitutivo da dívida com base em documentação falsa. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartão de crédito consignado sem a formalização do título adequado.";
2022;4º;Reclamação não regulada;Crédito consignado;"Para situações como descrição em holerite, instabilidade no portal de consignação, as relacionadas a detalhes contratuais ou operacionais entre instituição financeira e empregador, entre outras.";
2022;4º;Reclamação não regulada;Descumprimento contratual;"Para as situações envolvendo descumprimento, por parte da instituição financeira, de cláusulas contratuais de assuntos não sujeitos à supervisão do Banco Central.";
2022;4º;Reclamação não regulada;Descumprimento contratual - instituição de pagamento;"Para as situações envolvendo descumprimento, por parte da instituição de pagamento, de cláusulas contratuais de assuntos não sujeitos à supervisão do Banco Central.";
2022;4º;Reclamação não regulada;Descumprimento de ordem judicial;"Para as situações envolvendo descumprimento, por parte da instituição financeira, de ordem judicial, tais como:
- bloqueio ou desbloqueio de conta;
- fornecimento de extratos e outros documentos;
- exclusão de restrições cadastrais. ";
2022;4º;Reclamação regulada;Descumprimento de prazo de bloqueio ou de prazo de devolução de cheque;"Para os casos relacionados a: 
- descumprimento de prazo de bloqueio de cheque; 
- descumprimento de prazo de entrega de cheque devolvido ao depositante; ou 
- não remuneração pelo descumprimento por dia de atraso do prazo de desbloqueio do cheque.
";
2022;4º;Reclamação regulada;Descumprimento de prazo de resposta da reclamação registrada no BCB;"Para os casos de descumprimento do prazo de resposta por parte da instituição financeira às reclamações registradas no Banco Central do Brasil.
";
2022;4º;Reclamação regulada;Descumprimento de prazo de resposta da reclamação registrada no BCB - instituição de pagamento;"Para os casos de descumprimento do prazo de resposta por parte da instituição de pagamento às reclamações registradas no Banco Central do Brasil.
";
2022;4º;Reclamação regulada;Descumprimento do horário de funcionamento das instituições financeiras;"Para os casos envolvendo irregularidades relacionadas a descumprimento de horário de funcionamento das instituições financeiras, tais como:
- não divulgação do horário de funcionamento;
- não divulgação de alteração no horário de funcionamento;
- não cumprimento do horário mínimo (5 horas diárias ininterruptas, com atendimento obrigatório no período de 12h às 15h);
- suspensão do atendimento.";
2022;4º;Reclamação regulada;Descumprimento dos prazos para saques em espécie;"Para os casos de descumprimento do prazo para saque: até R$ 5.000,00 no mesmo expediente; até R$ 50.000,00 até o expediente seguinte; igual ou superior a R$ 50.000,00 após 3 dias.";
2022;4º;Reclamação regulada;Débito em conta de pagamento pré-paga não autorizado pelo cliente, ou não cumprimento das regras aplicáveis;"Para as situações envolvendo débitos em conta de pagamento pré-paga comandados pela instituição financeira sem a respectiva autorização do cliente, ou não cumprimento das regras aplicáveis.";
2022;4º;Reclamação regulada;Débito em conta de pagamento pré-paga não autorizado pelo cliente, ou não cumprimento das regras aplicáveis - instituição de pagamento;"Para as situações envolvendo débitos em conta de pagamento pré-paga comandados pela instituição de pagamento sem a respectiva autorização do cliente, ou não cumprimento das regras aplicáveis.";
2022;4º;Reclamação regulada;Débito em conta não autorizado pelo cliente, ou não cumprimento das regras aplicáveis;"Para as situações envolvendo débitos em conta comandados pela instituição financeira sem a respectiva autorização do cliente, ou não cumprimento das regras aplicáveis.";
2022;4º;Reclamação regulada;Débito em conta-salário não autorizado pelo cliente, ou não cumprimento das regras aplicáveis;"Para as situações envolvendo débitos em conta-salário comandados pela instituição financeira sem a respectiva autorização do cliente, ou não cumprimento das regras aplicáveis.";
2022;4º;Reclamação não regulada;Dificuldade na liberação ou substituição de bem;"Para as situações relacionadas a bens dados em garantia, tais como:
- demora na substituição de bens dados em garantia;
- demora no fornecimento de documentos (2a via de DUT, Kit para Opção de Compra) necessários à liberação de veículo (arrendamento mercantil);
- demora na liberação de bem dado em garantia de financiamento (liberação de gravame em veículos) após a quitação da operação;
- demora na liberação de hipoteca ou alienação fiduciária de imóveis.";
2022;4º;Reclamação não regulada;Dificuldade para efetuar resgate antecipado de aplicação;Para os casos envolvendo recusa ou embaraços criados pela instituição financeira para o resgate antecipado de aplicações.;
2022;4º;Reclamação regulada;Encaminhamento de instrumentos de pagamento não solicitados;Para os casos em que a instituição financeira encaminha ao domicílio do cliente ou usuário instrumento de pagamento sem sua expressa solicitação ou autorização.;
2022;4º;Reclamação regulada;Encaminhamento de instrumentos de pagamento não solicitados - instituição de pagamento;"Para os casos em que a instituição de pagamento encaminha ao domicílio do cliente ou usuário instrumento de pagamento sem sua expressa solicitação ou autorização
";
2022;4º;Reclamação regulada;Falta de transparência na redação de documentos;"Para os casos envolvendo a não utilização de redação clara, objetiva e adequada à natureza e à complexidade da operação ou do serviço, em contratos, recibos, extratos, comprovantes e documentos destinados ao público, de forma a permitir o entendimento do conteúdo e a identificação de prazos, valores, encargos, multas, datas, locais e demais condições.";
2022;4º;Reclamação regulada;Falta de transparência na redação de documentos - instituição de pagamento;"Para os casos envolvendo a não utilização por parte de instituição de pagamento de redação clara, objetiva e adequada à natureza e à complexidade da operação ou do serviço, em contratos, recibos, extratos, comprovantes e documentos destinados ao público, de forma a permitir o entendimento do conteúdo e a identificação de prazos, valores, encargos, multas, datas, locais e demais condições.
";
2022;4º;Reclamação não regulada;Golpe;Para as situações relacionadas à ação praticada por eventuais golpistas.;
2022;4º;Reclamação regulada;Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);"Para os casos envolvendo a inclusão, por parte de instituição financeira, de dados incorretos no Cadastro de Clientes do Sistema Financeiro Nacional (CCS).";
2022;4º;Reclamação regulada;Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional) - instituição de pagamento;"Para os casos envolvendo a inclusão, por parte de instituição de pagamento, de dados incorretos no Cadastro de Clientes do Sistema Financeiro Nacional (CCS).";
2022;4º;Reclamação regulada;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;"Para os casos de insatisfação com a resposta (incompleta ou incorreta) recebida da instituição financeira à reclamação registrada no Banco Central do Brasil.
";
2022;4º;Reclamação regulada;Insatisfação com a resposta referente à reclamação registrada no BCB recebida - instituição de pagamento;"Para os casos de insatisfação com a resposta (incompleta ou incorreta) recebida da instituição de pagamento à reclamação registrada no Banco Central do Brasil.

";
2022;4º;Reclamação não regulada;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;"Para situações diversas envolvendo atendimento prestado pelo Serviço de Atendimento ao Consumidor (SAC) ou Central de Relacionamento, tais como:
- atendimento descortês; 
- dificuldade de acesso;
- não estabelecimento de prazos ou não cumprimento dos prazos estabelecidos para resposta às consultas e reclamações;
- não fornecimento do número de protocolo do SAC pela instituição financeira;
- não disponibilização/entrega de gravação telefônica solicitada pelo cliente.";
2022;4º;Reclamação não regulada;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento - instituição de pagamento;"Para situações diversas envolvendo atendimento prestado pelo Serviço de Atendimento ao Consumidor (SAC) ou Central de Relacionamento, tais como:
- atendimento descortês; 
- dificuldade de acesso;
- não estabelecimento de prazos ou não cumprimento dos prazos estabelecidos para resposta às consultas e reclamações;
- não fornecimento do número de protocolo do SAC pela instituição de pagamento;
- não disponibilização/entrega de gravação telefônica solicitada pelo cliente.";
2022;4º;Reclamação não regulada;Insatisfação com o atendimento prestado por agências;"Para situações diversas envolvendo atendimento prestado na agência do cliente ou usuário, tais como:
- atendimento descortês; 
- não estabelecimento de prazos ou não cumprimento dos prazos estabelecidos para resposta às consultas e reclamações;
- reclamações envolvendo os produtos ""seguro"" ou ""plano de previdência privada"", manifestada contra a instituição fiscalizada e não contra a seguradora ou contra empresa de previdência privada, tais como: demora no cancelamento ou no pagamento do seguro, demora no resgate da aplicação da previdência, entre outros.
- demora em efetuar transferência de agência;
- recusa de atendimento em agência diversa daquela onde o cliente possui conta;
- demora para transferência de titularidade do devedor em operações de financiamento; 
- demora para alteração de domicílio bancário (solicitação feita por estabelecimento comercial);
- situações decorrentes do não atendimento em função de greve bancária.";
2022;4º;Reclamação regulada;Integridade, confiabilidade, segurança, sigilo e legitimidade das operações e serviços  - conta de pagamento pré-paga;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados relacionados a conta de pagamento pré-paga, tais como:
- Cobrança de transação que deveria ter sido estornada;
- Cobrança indevida de transação;
- Compras não reconhecidas feitas com instrumento de pagamento pré-pago;
- Cobranças em duplicidade, em conta de pagamento pré-pago.";
2022;4º;Reclamação regulada;Irregularidade na portabilidade salarial para contas de pagamento pré-pagas - instituição de pagamento;"Para as situações relacionadas à portabilidade salarial para contas de pagamento pré-pagas, nas quais a instituição de pagamento que intermediar a comunicação deve confirmar e garantir:
- a identidade do beneficiário;
- a legitimidade da comunicação;
- a autenticidade das informações exigidas.";
2022;4º;Reclamação regulada;Irregularidades envolvendo a abertura de conta-salário;"Para os casos em que a instituição financeira, contratada para realizar serviços de pagamento de salários, proventos, soldos, vencimentos, aposentadorias, pensões e similares, não faz os respectivos créditos em conta-salário ou não cumpre as eventuais condições e restrições quanto à abertura da conta-salário.
";
2022;4º;Reclamação regulada;Irregularidades no processo de encerramento de conta de depósitos à vista;"Para as situações envolvendo o não cumprimento das condições exigidas para o encerramento de conta de depósito à vista, tais como:
- prazo para adoção das providências relacionadas à rescisão do contrato;
- expedição de aviso ao correntista.";
2022;4º;Reclamação regulada;Irregularidades no processo de encerramento de conta de pagamento;"Para as situações envolvendo o não cumprimento das condições exigidas para o encerramento de conta de pagamento, tais como expedição de aviso ao cliente.";
2022;4º;Reclamação regulada;Irregularidades no processo de encerramento de conta de pagamento - instituição de pagamento;"Para as situações envolvendo o não cumprimento das condições exigidas para o encerramento de conta de pagamento por instituição de pagamento, tais como expedição de aviso ao cliente.
";
2022;4º;Reclamação regulada;Irregularidades relacionadas a boletos de pagamento (exceto ausência de contrato com beneficiário);"Para os casos envolvendo boletos de pagamento, tais como:
- ausência de informações mínimas obrigatórias em boletos de pagamento; 
- apresentação, não autorizada, por meio eletrônico (Débito Direto Autorizado - DDA).";
2022;4º;Reclamação regulada;Irregularidades relacionadas a cédulas ou moedas;"Para as situações relacionadas ao meio circulante, tais como:
- recusa em substituir cédulas em mau estado de conservação;
- recusa em substituir cédulas suspeita de ter sido danificada por acionamento de dispositivo antifurto, na hipóstese de saque, inclusive em terminais de autoatendimento;
- não ressarcimento ao apresentante do valor correspondente  aos exemplares declarados legítimos, após o resultado do exame do Banco Central.";
2022;4º;Reclamação regulada;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de instituições financeiras;Para as situações envolvendo falta de remessa ou remessa intempestiva de informações sobre valores a receber ou liquidação intempestiva de valores a receber no Sistema de Informações de Valores a Receber (SVR) do BCB por parte de instituições financeiras.;
2022;4º;Reclamação regulada;Irregularidades relacionadas a operações no mercado de câmbio;"Para os casos envolvendo operações no mercado de câmbio, tais como:
- demora para aviso de recepção de ordem de pagamento do exterior;
- remessa para liquidação pronta não cumprida no prazo.";
2022;4º;Reclamação regulada;Irregularidades relacionadas a registros no Cadastro de Emitentes de Cheques sem Fundos (CCF);"Para os casos envolvendo registro incorreto por parte de instituição financeira, relacionadas à inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos (CCF), tais como: 
- inclusão indevida; 
- inclusão sem a devida comunicação ao cliente; 
- não inclusão; 
- exclusão indevida;
- não exclusão;
- descumprimento do prazo de exclusão;
- não fornecimento ao emitente de cópia de cheque incluído no CCF.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao acompanhamento de conta;"Para os casos envolvendo falhas no acompanhamento de conta de depósito por parte da instituição financeira (""conheça o seu cliente"").";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao acompanhamento de conta de pagamento;"Para os casos envolvendo falhas no acompanhamento de conta de pagamento por parte da instituição financeira (""conheça o seu cliente"").";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao acompanhamento de conta de pagamento - instituição de pagamento;"Para os casos envolvendo falhas no acompanhamento de conta de pagamento por parte da instituição de pagamento (""conheça o seu cliente""). ";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao atendimento da Ouvidoria;"Para os casos relacionados ao atendimento por parte da ouvidoria da instituição financeira, tais como:
- dificuldade de atendimento;
- encaminhamento para outros canais de atendimento já procurados pelo cliente;
- não fornecimento de protocolo de atendimento;
- recusa em fornecer esclarecimentos ou informar o prazo de resposta.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao atendimento da Ouvidoria - instituição de pagamento;"""Para os casos relacionados ao atendimento por parte da ouvidoria da instituição de pagamento, tais como:
- dificuldade de atendimento;
- encaminhamento para outros canais de atendimento já procurados pelo cliente;
- não fornecimento de protocolo de atendimento;
- recusa em fornecer esclarecimentos ou informar o prazo de resposta;
- descumprimento de prazo de resposta""
";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito;"Para as situações envolvendo irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito, tais como: 
- ausência no contrato, de forma destacada, da planilha de cálculo do CET;
- recusa em fornecer planilha de cálculo;
- não comunicação do CET ao cliente, previamente à contratação;
- cálculo incorreto.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito;Para os casos envolvendo o não fornecimento ao cliente de boletos ou outro documento que viabilize a liquidação antecipada de operações de crédito.;
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documentos - instituição de pagamento;"Para os casos envolvendo o não fornecimento por instituição de pagamento ao cliente ou usuário de documentos solicitados, tais como extratos em geral, recibos, comprovantes, faturas.
";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pós-paga - instituição de pagamento;"Para os casos envolvendo o não fornecimento por conta de pagamento pós-paga ao cliente ou usuário de documentos solicitados, tais como extratos em geral, recibos, comprovantes, faturas.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pré-paga - instituição de pagamento;"Para os casos envolvendo o não fornecimento por conta de pagamento pré-paga ao cliente ou usuário de documentos solicitados, tais como extratos em geral, recibos, comprovantes, faturas.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;"Para os casos envolvendo o não fornecimento ao cliente de documentos relacionados a cartão de crédito, tais como segundas vias de fatura, contratos de adesão e faturas.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documentos relativos a conta;"Para os casos envolvendo o não fornecimento ao cliente de documentos relacionados a conta, tais como contrato de abertura, extratos e comprovantes.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documentos relativos a operação de crédito, exceto para liquidação antecipada e descritivo do crédito.;"Para os casos de não recebimento tempestivo dos documentos relacionados à operação de crédito, inclusive financiamento imobiliário, tais como: contrato da operação; comprovantes de pagamento; extratos; boletos de parcelas. Não se aplica a situações relacionadas à liquidação antecipada e ao descritivo da operação de crédito (DDC).";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de informações relativas a operação de crédito contratada (DDC);Para os casos envolvendo o não fornecimento ao cliente de informações descritivas das suas operações de crédito (DDC).;
2022;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, conta e operação de crédito;"Para os casos envolvendo o não fornecimento ao cliente ou usuário de documentos solicitados, tais como extratos em geral, recibos, comprovantes, desde que não se refiram a cartão de crédito, conta ou operação de crédito.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);"Para os casos envolvendo registro ou procedimento incorreto, por parte de instituição financeira, no Sistema de Informações de Crédito do Banco Central (SCR), tais como: 

- consulta de dados sem autorização prévia do cliente;
- descumprimento de obrigações relacionadas à inclusão/exclusão/alteração de dados;
- inclusão indevida;
- inclusão de valores incorretos;
- não exclusão de inscrições feitas quando constatadas fraudes na concessão do crédito.";
2022;4º;Reclamação regulada;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR) - instituição de pagamento;"""Para os casos envolvendo registro ou procedimento incorreto, por parte de instituição de pagamento, no Sistema de Informações de Crédito do Banco Central, tais como: 
- consulta de dados sem autorização prévia do cliente;
- descumprimento de obrigações relacionadas à inclusão/exclusão/alteração de dados;
- inclusão indevida;
- inclusão de valores incorretos;
- não exclusão de inscrições feitas quando constatadas fraudes na concessão do crédito.""
";
2022;4º;Reclamação regulada;Irregularidades relacionadas à devolução de cheques;"Para as situações relacionadas à devolução de cheques, tais como:
- devolução pelo motivo incorreto;
- não comunicação ao emitente do cheque, quando da devolução pelos motivos 12, 13 e 14; 
- não fornecimento (ou fornecimento incompleto) de informações sobre o emitente de cheque devolvido;
- não fornecimento, ao emitente do cheque incluído no CCF, de informações sobre o beneficiário/depositante, mesmo diante da apresentação da cópia do cheque e da autorização deste;
- fornecimento, ao emitente de cheque, de informações sobre o beneficiário/depositante sem autorização deste;
- devolução decorrente de divergência entre os valores expressos em algarismos e por extenso;
- não aposição, pela instituição financeira remetente, do carimbo de devolução no cheque físico;
- não disponibilização de informações que possam acarretar a devolução de determinado cheque.";
2022;4º;Reclamação regulada;Irregularidades relacionadas à liquidação de documentos (exceto cheques);"Para as situações relacionadas à liquidação de TEC, TED, DOC e boletos de cobrança, tais como: 
- descumprimento de prazo de compensação;
- inobservância do valor limite de DOC;
- não informação/disponibilização de DOC devolvido.";
2022;4º;Reclamação regulada;Irregularidades relacionadas à liquidação de documentos (exceto cheques) - instituição de pagamento;"""Para as situações relacionadas à liquidação de TEC, TED, DOC e boletos de cobrança por instituição de pagamento, tais como: 
- descumprimento de prazo de compensação;
- inobservância do valor limite de DOC
- não informação/disponibilização de DOC devolvido;""
";
2022;4º;Reclamação regulada;Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito;"Para as situações envolvendo infração às regras de crédito rotativo de cartão de crédito previstas na Resolução 4.549, de 2017, tais como:
- extensão indevida de crédito rotativo
- falta de informação sobre as novas regras de crédito rotativo
- financiamento de saldo remanescente de crédito rotativo em condições não vantajosas
- retorno ao crédito rotativo após parcelamento de rotativo anterior

Limitação para cobrança dos juros remuneratórios nos casos de inadimplência de cartão de crédito previstas na Resolução 4.655/2018.";
2022;4º;Reclamação regulada;Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito - instituição de pagamento;"Para as situações envolvendo infração às regras de crédito rotativo de cartão de crédito previstas na Resolução 4.549, de 2017, tais como:
- extensão indevida de crédito rotativo
- falta de informação sobre as novas regras de crédito rotativo
- financiamento de saldo remanescente de crédito rotativo em condições não vantajosas
- retorno ao crédito rotativo após parcelamento de rotativo anterior

Limitação para cobrança dos juros remuneratórios nos casos de inadimplência de cartão de crédito previstas na Resolução 4.655/2018.";
2022;4º;Reclamação regulada;Irregularidades relativas a dados cadastrais no Open Banking por instituições financeiras;"Para as situações envolvendo infração às regras de Open Banking por instituições financeiras relativas a dados cadastrais, tais como:
- Não compartilhamento de dados cadastrais
- Compartilhamento de dados cadastrais sem consentimento do cliente
- Falhas no processo de consentimento, autenticação e confirmação do cliente";
2022;4º;Reclamação regulada;Irregularidades relativas a dados transacionais no Open Banking - instituição de pagamento;"Para as situações envolvendo infração às regras de Open Banking por instituições de pagamento, tais como:
- Não compartilhamento de dados transacionais
- Compartilhamento de dados transacionais sem consentimento do cliente
- Falhas no processo de consentimento, autenticação e confirmação do cliente
";
